,Amad,Jos 19:26,e59a,"very: testimony,witness: mouth,said,speak,confession: you: village: many,much: neighbor: house: near,close"
,Amal,1 Chron 7:35,e75a,"man: anger,angry: heart"
,Amalek_man,Gen 36:12,efe9,"Man: war,fight,battle: sword: tongue: mouth,said,speak,confession: clothing,fabric"
,Amam,Josh 15:26,e4d2,"mother: woman: love,compassion: village: many,much: neighbor: house: near,close"
,Amariah,Zeph 1:1,e526,"man: hei: mouth,said,speak,confession"
,Amasai,1 Chr 6:25,e661,man: heavy: weigh: hand: big: measure
,Amasiah,2 Chron 17:16,e783,man: measure
,amazed,Esth 1:1,e14a,"big: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Amaziah,2 Kgs 12:21,e450,"man: people: knife,cut"
,ambassador,,ebfd,"Eye,see: person: mouth,said speak,confession"
,amen,,e100,"good: all,whole"
,Amittai,Jonah 1:1,e1cf,"Man: fly: love,compassion"
,Ammah,2 Sam 2:24,e6d3,"me,I: small,few: mountain"
,Ammiel,Num 13:12,e2ad,"Man: type,kind_same: part,some: same,equal"
,Ammihud,Num 1:10,e2ae,"Man: people: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Amminadab,Matt 1:4,ea51,"man: free,freedom: no,not: chain,bound,arrest,imprisoned"
,Ammishaddai,Num 1:12,e2af,Man: very: people
,Ammon,Gen 19:38,edae,"big: people: land,ground,earth,space"
,Amnon,1 Chron 3:1,e727,"man: true,truth: good: measure: many,much"
,Amon,Matt 1:10,ea64,"man: secret,whisper: quiet,silence: no,not: mouth,said,speak,confession: ear,hear"
,Amorites,Gen 10:16,edaf,mountain: people
,Amos,Amos,ec47,man: hand: big
,Amoz,Isa 1:1,e5ca,man: staff: big: stick
,Amphipolis,Acts 17:1,eb2e,"ocean,sea: big: water,wet: village: many,much: neighbor: house: near,close"
,Ampliatus,Rom 16:8,ebb9,man: very: big
,Amram,Exod 6:18,e2df,"Man: very: red: blood: hand: water,wet: color"
,Amraphel,Gen  14:1,edb1,"Man: mute: mouth,said,speak,confession: no,not"
,Anab,Josh 15:50,e4d3,"grape: small,few: fruit: village: many,much: neighbor: house: near,close"
,Anah,Gen 36:2,e0ba,"Man: many,much: no,not: knife,cut"
,Anaharath,Jos 19:19,e59b,"down: mountain: village: many,much: neighbor: house: near,close"
,Anak,Num 13:22,e2b0,Man: up: neck: face
,Anam,Gen 10:13,edb2,"Man: knife,cut: water,wet"
,Anani,1 Chron 3:2,e702,"man: cloud: soft: thing: many,much"
,Ananias,Acts 23:2,eb65,"man: disciple: person: follow: people: forward,to: king,ruler,lord,master: face"
,Anath,Judg 5:6,e56e,"man: mouth,said,speak,confession: correct,yes: good"
,Anathoth_man,1 Chron 7:8,e75b,
,Anathoth_village,Josh 21:18,e4f8,"greeting: mouth,said,speak,confession: happy,joy: face: village: many,much: neighbor: house: near,close"
,ancestor,,ec80,"very: past: backward: time,when: man: love,compassion"
,and,,e11c,thing
,Andrew,Matt 4:18,e357,man: man
,Andronicus,Rom 16:7,ebba,man: best: very: good
,Aner,Gen  14:13,edb3,"Man: two: water,wet"
,angel,,e0a7,"good: spirit: no,not: person"
,anger,,e204,
,Aniam,1 Chron 7:19,e75c,"man: me,I: people"
,Anim,Josh 15:50,e4d4,"water,wet: very: village: many,much: neighbor: house: near,close"
,animal,,e102,
,Anna,Luke 2:36-38 1 Sam 1:2,eb02,"woman: no,not: knife,cut"
,Annas,Acts 4:6,eb63,"man: priest: cross: person: kill,destroy,destruction: knife,cut"
,anointed,,e033,"king,ruler,lord,master: call,beckon: mouth,said,speak,confession: near,close: person"
,another,,ebf2,"Person: after: thing: forward,to"
,Anthothijah,1 Chr 8:24,e662,"man: farewell: end,finish: greeting: mouth,said,speak,confession: happy,joy: face"
,Antichrist,1 John 4:3,ed0e,"Deceive,deception,lead_astray,false,lie: bad: no,not: true,truth: good: measure: cross"
,Antioch,Acts 6:5,eb58,"against: backward: forward,to: village: many,much: neighbor: house: near,close"
,Antipas,Rev 2:13,ec01,"Man: dead,death,die: no,not: heart: faithful,faithfulness: very: believe,faith: know,knowledge: cross"
,Antipatris,Acts 23:31,eb9a,"man: against: backward: forward,to: family,relative: house: love,compassion"
,Anub,1 Chron 4:8,e703,man: fruit: hair: face
,Apelles,Rom 16:10,ebbb,"man: divide,split,division,separate"
,Aphek,Josh 12:18,e43c,"river,stream: village: many,much: neighbor: house: near,close"
,Aphekah,Josh 15:53,e4d5,"blue: river,stream: color: village: many,much: neighbor: house: near,close"
,Aphiah,1 Sam 9:1,e6cc,man: in_front: thing: skull: face
,Apollonia,Acts 17:1,eb30,"Kill,destroy,destruction: knife,cut: person: village: many,much: neighbor: house: near,close"
,Apollos,Acts 18:24,eb3e,"man: kill,destroy,destruction: knife,cut: person"
,apostle,,ebef,"Cross: person: mouth,said,speak,confession"
,Appaim,1 Chron 2:30,e75d,"man: nose,smell"
,Apphia,Phil 1:2,ecf1,"Woman: wine: cup,drink: fruit"
,appointed,,e041,"Call,beckon: mouth,said,speak,confession: near,close : person"
